## text-manipulation
Toggle case (whole line)                                    | g~~
Repeat a replace/substitute command for the entire buffer   | g&

## text-objects
Find up to and including {c}                                | f{c}
Reverse find up to and including {c}                        | F{c}
Find up to {c}                                              | t{c}
Reverse find up to {c}                                      | T{c}
Search up to {pat}                                          | /{pat}

## marks @boundaries @boundary
Implicitly marked boundaries for yanked/pasted text         | [ ]
Implicitly marked boundaries for visual selection           | < >
